MW,LogP,HBA,HBD,RotBonds,AroRings,TPSA,HeavyAtoms,Heteroatoms
349.4740000000001,4.547000000000004,3,0,4,2,21.700000000000003,26,3
293.36600000000004,3.3049000000000017,3,2,0,2,43.7,22,3
470.53000000000026,-1.3996999999999957,7,7,11,2,188.67000000000002,34,11
656.7440000000001,-0.19089999999999208,8,9,14,4,233.56,48,14
909.0139999999999,-1.618199999999998,12,12,22,4,325.29999999999995,66,20
656.744,-0.19089999999999385,8,9,14,4,233.56,48,14
583.6900000000004,-0.724699999999991,8,8,15,2,217.76999999999998,42,13
583.6900000000004,-0.724699999999991,8,8,15,2,217.76999999999998,42,13
633.7060000000001,-0.9665999999999928,9,9,14,3,238.0,46,14
617.7070000000001,-0.672199999999993,8,8,14,3,217.77,45,13
617.7070000000001,-0.672199999999993,8,8,14,3,217.77,45,13
343.42300000000023,1.3171999999999997,5,3,2,1,73.16,25,5
490.6250000000004,4.276000000000003,7,2,6,2,74.52,35,7
504.6520000000004,4.1445000000000025,7,2,7,2,74.52,36,7
504.65200000000044,4.1445000000000025,7,2,7,2,74.52,36,7
406.35700000000026,4.413600000000002,3,1,6,2,49.57000000000001,27,6
504.65200000000044,4.1445000000000025,7,2,7,2,74.52,36,7
490.62500000000045,4.276000000000003,7,2,6,2,74.52,35,7
490.6250000000004,4.276000000000003,7,2,6,2,74.52,35,7
421.58500000000026,3.8767000000000023,4,1,6,2,44.81,31,5
294.398,2.883800000000001,3,1,4,2,32.34,22,3
391.55900000000025,4.061600000000004,3,0,8,2,26.79,29,4
423.60100000000017,4.338900000000003,4,1,7,2,44.81,31,5
385.9390000000002,3.816600000000003,3,1,6,2,35.580000000000005,27,5
827.0379999999997,3.6936000000000027,12,4,11,2,157.73999999999998,58,14
855.0919999999995,4.473800000000003,12,4,11,2,157.74,60,14
310.4410000000001,2.9086000000000007,3,2,4,2,35.5,23,3
402.5420000000002,3.711400000000002,4,1,6,3,48.470000000000006,30,5
407.6020000000003,4.675700000000004,3,0,9,2,26.79,30,4
435.6120000000002,4.5442000000000045,4,1,8,2,47.019999999999996,32,5
350.50600000000026,4.7439000000000044,2,0,6,2,23.550000000000004,26,3
310.3970000000001,2.4678000000000004,4,1,4,2,41.57,23,4
381.52000000000015,3.171800000000001,4,1,7,2,44.81,28,5
353.51000000000016,3.409200000000002,3,1,9,2,35.580000000000005,26,4
369.48400000000015,3.3023000000000016,3,1,6,2,35.580000000000005,27,5
295.386,1.7800999999999996,3,2,4,2,58.36000000000001,22,4
402.5420000000002,3.711400000000002,4,1,6,3,48.470000000000006,30,5
296.37000000000006,2.3794000000000004,3,2,4,2,52.57,22,4
323.44000000000005,2.383000000000001,3,1,4,2,35.580000000000005,24,4
320.40000000000003,1.8612999999999993,5,2,4,3,69.73,24,6
350.5060000000002,4.300100000000003,3,1,7,2,32.34,26,3
746.9079999999999,2.1331999999999995,12,4,7,2,157.73999999999998,52,14
277.3709999999999,2.55288,3,1,3,2,39.06,21,3
381.52000000000015,3.171800000000001,4,1,7,2,44.81,28,5
337.51100000000014,3.5230000000000024,3,1,7,2,18.509999999999998,25,3
387.5490000000002,2.7117000000000013,4,1,7,2,52.650000000000006,27,6
365.52100000000024,3.5054000000000025,3,0,6,2,26.790000000000006,27,4
423.60100000000017,4.338900000000003,4,1,7,2,44.81,31,5
401.5540000000002,4.316400000000003,3,1,6,3,35.580000000000005,30,4
402.5420000000002,3.711400000000002,4,1,6,3,48.470000000000006,30,5
774.9619999999998,2.9134,12,4,7,2,157.73999999999998,54,14
402.5420000000002,3.711400000000002,4,1,6,3,48.470000000000006,30,5
365.5210000000002,3.4716200000000024,3,1,6,2,35.580000000000005,27,4
390.53100000000023,3.6445000000000016,3,2,6,3,51.370000000000005,29,5
365.52100000000024,3.553300000000002,3,1,6,2,35.580000000000005,27,4
323.44000000000005,2.4309000000000003,3,2,5,2,44.370000000000005,24,4
401.5540000000002,4.316400000000003,3,1,6,3,35.580000000000005,30,4
357.5420000000001,3.6952000000000025,3,1,6,1,35.580000000000005,26,4
411.54900000000026,3.976300000000003,3,1,4,3,35.58,31,4
402.5420000000002,3.711400000000002,4,1,6,3,48.470000000000006,30,5
405.58600000000035,4.285600000000004,3,0,8,2,26.790000000000006,30,4
573.6760000000002,-1.8408999999999924,7,7,15,2,238.07999999999998,40,14
2147.523000000001,-6.35918999999991,27,33,71,4,917.3700000000001,153,54
1565.9430000000002,-5.6463999999999785,21,21,39,2,648.9699999999999,109,40
616.7410000000002,-0.29432999999999443,8,7,15,2,204.79999999999998,43,14
