canonical_smiles,molecule_chembl_id,pchembl_value,standard_units,standard_value,units,value,Potency
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(OC)c2)cc1,CHEMBL423694,8.81,nM,1.56,nM,1.56,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2OC)cc1,CHEMBL278078,9.01,nM,0.97,nM,0.97,Active
CCN(CC)C(=O)c1ccc(C(c2ccccc2)C2CCNCC2)cc1,CHEMBL126382,8.06,nM,8.77,nM,8.77,Active
C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,CHEMBL13470,8.88,nM,1.31,nM,1.31,Active
CCCCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,CHEMBL127802,8.19,nM,6.53,nM,6.53,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(F)cc2)cc1,CHEMBL126946,7.82,nM,15.0,nM,15.0,Active
CCN(CC)C(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,CHEMBL338980,7.95,nM,11.3,nM,11.3,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,CHEMBL415521,9.06,nM,0.87,nM,0.87,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2c(C)cccc2C)cc1,CHEMBL126884,6.73,nM,187.0,nM,187.0,Active
CCN(CC)C(=O)c1ccc(C(=C2CCN(c3ccccc3)CC2)c2ccccc2)cc1,CHEMBL338089,6.13,nM,736.0,nM,736.0,Active
C=CCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,CHEMBL126255,8.52,nM,3.0,nM,3.0,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)c(Cl)c2)cc1,CHEMBL126857,8.64,nM,2.31,nM,2.31,Active
CCN(CC)C(=O)c1ccc(C(=C2CCN(C)CC2)c2ccccc2)cc1,CHEMBL126842,7.57,nM,27.0,nM,27.0,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(F)c2)cc1,CHEMBL339457,9.13,nM,0.74,nM,0.74,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccs2)cc1,CHEMBL129315,8.54,nM,2.85,nM,2.85,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc([N+](=O)[O-])c2)cc1,CHEMBL340131,8.96,nM,1.1,nM,1.1,Active
CCN(CC)C(=O)c1ccc(C(=C2CCN(CC3CC3)CC2)c2ccccc2)cc1,CHEMBL127788,8.03,nM,9.35,nM,9.35,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(SC)cc2)cc1,CHEMBL129693,8.68,nM,2.09,nM,2.09,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc3ccccc23)cc1,CHEMBL129034,8.91,nM,1.23,nM,1.23,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(N)c2)cc1,CHEMBL127495,8.59,nM,2.57,nM,2.57,Active
CCN(CC)C(=O)c1ccc(C(=C2CCN(C3CCCCC3)CC2)c2ccccc2)cc1,CHEMBL340476,7.45,nM,35.5,nM,35.5,Active
CCN(CC)C(=O)c1ccc(C(=C2CCN(CC=C(C)C)CC2)c2ccccc2)cc1,CHEMBL126141,8.68,nM,2.09,nM,2.09,Active
